source_column,internal_column,dtype,required
ANALYTICAL_TYPE,analytical_type,str,true
QC_TYPE,qc_type,str,false
STD_LOT_CODE,std_lot_code,str,false
STD_CODE,std_code,str,false
JOB_CODE,job_code,str,false
NUMERIC_FINAL_VALUE,measured_value,float,true
ANALYSED_DATE,analysed_date,datetime,true
SCHEME_CODE,scheme_code,str,true
ANALYTE_CODE,analyte_code,str,true
STANDARD_STATUS,standard_status,str,false
PRECISION_STATUS,precision_status,str,false
INTERNAL_MIN_VALUE,limit_min,float,false
INTERNAL_MAX_VALUE,limit_max,float,false
INTERNAL_MIN_INCLUSIVE,limit_min_inclusive,str,false
INTERNAL_MAX_INCLUSIVE,limit_max_inclusive,str,false
INTERNAL_MAX_WARNING_VALUE,limit_max_warning,float,false
INTERNAL_MIN_WARNING_VALUE,limit_min_warning,float,false
INTERNAL_MIN_WARNING_INCLUSIVE,limit_min_warning_inclusive,str,false
INTERNAL_MAX_WARNING_INCLUSIVE,limit_max_warning_inclusive,str,false
LIM_REP_VALUE,limiting_repeatability,int,false
STAT_DL_VALUE,stat_detection_limit,float,false
LIM_REP_DUP_VALUE,limiting_repeatability_dup,float,false
STAT_DL_DUP_VALUE,stat_detection_limit_dup,float,false
INTERNAL_TARGET_VALUE,target_value,float,false
PARENT_NUMERIC_FINAL_VALUE,parent_value,float,false
UNIT_CODE,unit_code,str,true
SPECIFICATION_CODE,specification_code,str,false
INSTRUMENT_ID,instrument_id,str,false
ABSDIFF,abs_diff,float,false
AVG,avg_value,float,false
ABS%DIFF,abs_pct_diff,float,false
FAIL LIMIT,fail_limit,float,false
WARN LIMIT,warn_limit,float,false
STATUS,cclas_status,str,false
