OBJECT	PROPERTY	VALUE
VSAMPLE:	S_JobCode=	TSV_LB0024366393
VSAMPLE:	S_JobName=	TSV_LB26019534
VSAMPLE:	S_SampleCode=	TSV_S0024366394
VSAMPLE:	S_SampleName=	TSV18-00501.001
VSAMPLE:	S_ClientSampleName=	MC91628
VSAMPLE:	S_DupOriginalClientSampleName=	
VSAMPLE:	S_DupOriginalSampleCode=	
VSAMPLE:	S_DupOriginalSampleName=	
VSAMPLE:	S_OriginalJobCode=	TSV_JB0000059799
VSAMPLE:	S_OriginalSampleCode=	TSV_S0000059855
VSAMPLE:	S_PrimaryAnalyticalType=	UNKNOWN
VSAMPLE:	S_QcTypeCode=	
VSAMPLE:	S_SecondaryAnalyticalType=	N_A
VSAMPLE:	S_SecondaryQcTypeCode=	
VSAMPLE:	S_SpikeOriginalSampleCode=	
VSAMPLE:	S_StandardCode=	
VSAMPLE:	S_StandardLotCode=	
VSSA:	RSC_SchemeCode=	GO_FAA50V10
VSSA:	RSC_SchemeName=	GO_FAA50V10 Scheme Name
VSSA:	RSA_AnalyteCode=	AU
VSSA:	RSA_AnalyteName=	Au
VSSA:	SSA_UnitCode=	MG_KG
VSSA:	SSA_NumericFinalValue=	0.472999605834
VSSA:	PA_InternalMaxInclusive=	
VSSA:	PA_InternalMaxValue=	
VSSA:	PA_InternalMaxWarningInclusive=	
VSSA:	PA_InternalMaxWarningValue=	
VSSA:	PA_InternalMinInclusive=	
VSSA:	PA_InternalMinValue=	
VSSA:	PA_InternalMinWarningInclusive=	
VSSA:	PA_InternalMinWarningValue=	
VSSA:	PA_InternalTargetValue=	
VSSA:	SA_StatDetectionLimitDuplicateValue=	0.025
VSSA:	SA_LimitRepeatabilityDuplicateValue=	11.25
VSSA:	SA_StatDetectionLimitValue=	0.025
VSSA:	SA_LimitRepeatabilityValue=	7.5
VSSA:	SSA_LimitStatus=	NOT_REQUIRED
VSSA:	SSA_PrecisionStatus=	NOT_REQUIRED
VSSA:	SSA_SpecificationStatus=	NOT_REQUIRED
VSSA:	SSA_StandardStatus=	NOT_REQUIRED
VSSA:	SSA_Status=	
VSSA:	SSA_UserQcStatus=	
VSSA:	SSA_UserWorkflowStatus=	
VSSA:	SSA_WorkflowStatus=	COMPLETED
VSSA:	SSA_InstrumentCode=	
VSSA:	SSA_AnalysedByUserCode=	KATHERINE_HILL2
VSAMPLE:	S_JobCode=	TSV_LB0024366393
VSAMPLE:	S_JobName=	TSV_LB26019534
VSAMPLE:	S_SampleCode=	TSV_S0024366395
VSAMPLE:	S_SampleName=	TSV18-00501.002
VSAMPLE:	S_ClientSampleName=	MC91629
VSAMPLE:	S_DupOriginalClientSampleName=	
VSAMPLE:	S_DupOriginalSampleCode=	
VSAMPLE:	S_DupOriginalSampleName=	
VSAMPLE:	S_OriginalJobCode=	TSV_JB0000059799
VSAMPLE:	S_OriginalSampleCode=	TSV_S0000059856
VSAMPLE:	S_PrimaryAnalyticalType=	UNKNOWN
VSAMPLE:	S_QcTypeCode=	
VSAMPLE:	S_SecondaryAnalyticalType=	N_A
VSAMPLE:	S_SecondaryQcTypeCode=	
VSAMPLE:	S_SpikeOriginalSampleCode=	
VSAMPLE:	S_StandardCode=	
VSAMPLE:	S_StandardLotCode=	
VSSA:	RSC_SchemeCode=	GO_FAA50V10
VSSA:	RSC_SchemeName=	GO_FAA50V10 Scheme Name
VSSA:	RSA_AnalyteCode=	AU
VSSA:	RSA_AnalyteName=	Au
VSSA:	SSA_UnitCode=	MG_KG
VSSA:	SSA_NumericFinalValue=	0.075128509292
VSSA:	PA_InternalMaxInclusive=	
VSSA:	PA_InternalMaxValue=	
VSSA:	PA_InternalMaxWarningInclusive=	
VSSA:	PA_InternalMaxWarningValue=	
VSSA:	PA_InternalMinInclusive=	
VSSA:	PA_InternalMinValue=	
VSSA:	PA_InternalMinWarningInclusive=	
VSSA:	PA_InternalMinWarningValue=	
VSSA:	PA_InternalTargetValue=	
VSSA:	SA_StatDetectionLimitDuplicateValue=	0.025
VSSA:	SA_LimitRepeatabilityDuplicateValue=	11.25
VSSA:	SA_StatDetectionLimitValue=	0.025
VSSA:	SA_LimitRepeatabilityValue=	7.5
VSSA:	SSA_LimitStatus=	NOT_REQUIRED
VSSA:	SSA_PrecisionStatus=	NOT_REQUIRED
VSSA:	SSA_SpecificationStatus=	NOT_REQUIRED
VSSA:	SSA_StandardStatus=	NOT_REQUIRED
VSSA:	SSA_Status=	
VSSA:	SSA_UserQcStatus=	
VSSA:	SSA_UserWorkflowStatus=	
VSSA:	SSA_WorkflowStatus=	COMPLETED
VSSA:	SSA_InstrumentCode=	
VSSA:	SSA_AnalysedByUserCode=	KATHERINE_HILL2
VSAMPLE:	S_JobCode=	TSV_LB0024366393
VSAMPLE:	S_JobName=	TSV_LB26019534
VSAMPLE:	S_SampleCode=	TSV_S0024366396
VSAMPLE:	S_SampleName=	TSV18-00501.003
VSAMPLE:	S_ClientSampleName=	MC91630
VSAMPLE:	S_DupOriginalClientSampleName=	
VSAMPLE:	S_DupOriginalSampleCode=	
VSAMPLE:	S_DupOriginalSampleName=	
VSAMPLE:	S_OriginalJobCode=	TSV_JB0000059799
VSAMPLE:	S_OriginalSampleCode=	TSV_S0000059857
VSAMPLE:	S_PrimaryAnalyticalType=	UNKNOWN
VSAMPLE:	S_QcTypeCode=	
VSAMPLE:	S_SecondaryAnalyticalType=	N_A
VSAMPLE:	S_SecondaryQcTypeCode=	
VSAMPLE:	S_SpikeOriginalSampleCode=	
VSAMPLE:	S_StandardCode=	
VSAMPLE:	S_StandardLotCode=	
VSSA:	RSC_SchemeCode=	GO_FAA50V10
VSSA:	RSC_SchemeName=	GO_FAA50V10 Scheme Name
VSSA:	RSA_AnalyteCode=	AU
VSSA:	RSA_AnalyteName=	Au
VSSA:	SSA_UnitCode=	MG_KG
VSSA:	SSA_NumericFinalValue=	0.023913909924
VSSA:	PA_InternalMaxInclusive=	
VSSA:	PA_InternalMaxValue=	
VSSA:	PA_InternalMaxWarningInclusive=	
VSSA:	PA_InternalMaxWarningValue=	
VSSA:	PA_InternalMinInclusive=	
VSSA:	PA_InternalMinValue=	
VSSA:	PA_InternalMinWarningInclusive=	
VSSA:	PA_InternalMinWarningValue=	
VSSA:	PA_InternalTargetValue=	
VSSA:	SA_StatDetectionLimitDuplicateValue=	0.025
VSSA:	SA_LimitRepeatabilityDuplicateValue=	11.25
VSSA:	SA_StatDetectionLimitValue=	0.025
VSSA:	SA_LimitRepeatabilityValue=	7.5
VSSA:	SSA_LimitStatus=	NOT_REQUIRED
VSSA:	SSA_PrecisionStatus=	NOT_REQUIRED
