ANALYTICAL_TYPE,SRMSLotCode,SRMSStandardCode,JobCode,Value,AnalysisDate,SchemeCode,Analyte,StandardStatus,LowerLimit,LowerLimitInclusive,UpperLimit,UpperLimitInclusive,WarningUpper,WarningUpperInclusive,WarningLower,WarningLowerInclusive,TargetValue,ParentValue,UnitCode,SpecificationCode,SampleID,SourceCategory,SRMSAssumption,Deviation,DeviationPct,RollingMean,RollingStd,DistanceToLower,DistanceToUpper,LimitSpan,WithinRangePct,RuleFlag,RuleFlagScore,IForestAnomaly,IForestScore,IForestScoreNorm,RiskScore,RiskLevel
Standard,OREAS_501C,OREAS_501C,TSV_LB0002628992,0.259340659341,2020-06-26 02:40:42,GE_IMS40Q12,TE,Pass,0.1,Y,0.4,Y,0.34515,Y,0.15485,Y,0.25,,MG_KG,OREAS_501C,TSV_LB0002628992-99997,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.009340659341,3.7362637364,0.259340659341,0.0,0.15934065934099997,0.14065934065900004,0.30000000000000004,53.11355311366665,Green,0,False,0.3112947342061748,0.000929818291967776,2.64,Low
Standard,OREAS_501C,OREAS_501C,TSV_LB0002628992,24.835164835165,2020-06-26 02:40:42,GE_IMS40Q12,AS,Pass,21.01049,Y,26.78951,Y,25.73313,Y,22.06687,Y,23.9,,MG_KG,OREAS_501C,TSV_LB0002628992-99994,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.935164835165,3.912823578096,24.835164835165,0.0,3.8246748351649984,1.9543451648350008,5.779019999999999,66.18206607980244,Green,0,False,0.3172613009288466,0.01220825559488026,3.04,Low
Standard,OREAS_501C,OREAS_501C,TSV_LB0002628992,0.675824175824,2020-06-26 02:40:42,GE_IMS40Q12,BI,Pass,0.521019,Y,0.858981,Y,0.797157,Y,0.582843,Y,0.69,,MG_KG,OREAS_501C,TSV_LB0002628992-99996,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,-0.014175824176,-2.054467271884,0.675824175824,0.0,0.154805175824,0.183156824176,0.337962,45.80549760742333,Green,0,False,0.31168681953065847,0.0016709664187083677,1.48,Low
Standard,OREAS_501C,OREAS_501C,TSV_LB0002628992,2.263736263736,2020-06-26 02:40:42,GE_IMS40Q12,SE,Pass,-3.137085,Y,7.277085,Y,5.372892,Y,-1.232892,Y,2.07,,MG_KG,OREAS_501C,TSV_LB0002628992-99995,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.193736263736,9.35923979401,2.263736263736,0.0,5.400821263736,5.013348736264,10.414169999999999,51.86031401192799,Green,0,False,0.3142559508874025,0.006527324903711439,6.71,Low
Standard,OREAS_624,OREAS_624,TSV_LB0002628992,21.037735849057,2020-06-26 02:50:23,GE_IMS40Q12,BI,Pass,19.96965,Y,24.63035,Y,23.77849,Y,20.82151,Y,22.3,,MG_KG,OREAS_624,TSV_LB0002628992-99986,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,-1.262264150943,-5.660377358489,21.037735849057,0.0,1.0680858490569989,3.5926141509429996,4.6606999999999985,22.91685474407276,Green,0,False,0.32134243456577344,0.019922710488007745,4.46,Low
Standard,OREAS_624,OREAS_624,TSV_LB0002628992,35.660377358491,2020-06-26 02:50:23,GE_IMS40Q12,SE,UpperWarning,22.09039,Y,38.10961,Y,35.18088,Y,25.01912,Y,30.1,,MG_KG,OREAS_624,TSV_LB0002628992-99989,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,5.560377358491,18.473014480037,35.660377358491,0.0,13.569987358490998,2.449232641509006,16.019220000000004,84.71066230747186,Yellow,1,False,0.33499426189856824,0.04572838497381429,24.07,Low
Standard,OREAS_624,OREAS_624,TSV_LB0002628992,0.77358490566,2020-06-26 02:50:23,GE_IMS40Q12,TE,Pass,0.549975,Y,0.950025,Y,0.8769,Y,0.6231,Y,0.75,,MG_KG,OREAS_624,TSV_LB0002628992-99988,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.02358490566,3.144654088,0.77358490566,0.0,0.22360990566000005,0.17644009433999996,0.40005,55.895489478815165,Green,0,False,0.3114939327163133,0.001306357767994051,2.23,Low
Standard,OREAS_624,OREAS_624,TSV_LB0002628992,115.094339622642,2020-06-26 02:50:23,GE_IMS40Q12,AS,Pass,97.5986,Y,120.4014,Y,116.2267,Y,101.7733,Y,109.0,,MG_KG,OREAS_624,TSV_LB0002628992-99987,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,6.094339622642,5.591137268479,115.094339622642,0.0,17.49573962264199,5.307060377357999,22.80279999999999,76.72627757399091,Green,0,False,0.33431417541080005,0.04444283615329985,5.02,Low
Standard,OREAS_62F,OREAS_62F,TSV_LB0002628992,1.308108108108,2020-06-26 04:14:10,GE_IMS40Q12,TE,Pass,0.95496,Y,1.44504,Y,1.3554,Y,1.0446,Y,1.2,,MG_KG,OREAS_62F,TSV_LB0002628992-99973,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.108108108108,9.009009009,1.308108108108,0.0,0.3531481081079999,0.13693189189200017,0.49008000000000007,72.0592776909892,Green,0,False,0.31266297738777155,0.003516170821997992,6.39,Low
Standard,OREAS_62F,OREAS_62F,TSV_LB0002628992,8.756756756757,2020-06-26 04:14:10,GE_IMS40Q12,AS,Pass,4.537946,Y,11.102054,Y,9.901684,Y,5.738316,Y,7.82,,MG_KG,OREAS_62F,TSV_LB0002628992-99971,Standard,Reference-material standard used as SRMS candidate because explicit SRMS subtype is not present in ResultSet.csv.,0.936756756757,11.978986659297,8.756756756757,0.0,4.218810756757,2.3452972432430013,6.564108000000001,64.27089189813755,Green,0,False,0.31376080041705234,0.005591355560716968,8.53,Low
